Type of data.;f(vij)obs;prediction_trainig;fref;sIcI;sIcIV;sIIcIV;sIIIcII;sIIIcIII;sIIIcvII;sIVcIV;sVcv;sVIcvI
Original ;1;training;0.4167;0.352;1.027;1.462;0;0.564;0.198;0.983;0;1.27
Original ;0;validation;0.4167;0.052;0.711;0.97;0.489;0.462;1.238;0.927;0;0.559
Original ;0;training;0.4167;0.011;0.111;0.487;0;0.053;0.312;0.327;0.361;0.151
Original ;0;training;0.4167;0.011;0.458;0.995;0.113;0.296;0.774;0.467;0;0.27
Original ;1;training;0.4167;0.013;0.299;0.669;0.219;0.027;0.312;0.368;1.104;0.158
Original ;0;validation;0.4167;0.012;0.524;0.667;0;0.295;1.149;0.697;0;0.227
Original ;0;training;0.4167;0.011;0.833;1.245;0;0.716;0.231;1.065;0;0.651
Original ;0;training;0.4167;0.017;0.333;0.995;0;0.24;0.68;0.432;0.523;0.144
Original ;1;training;0.4167;0.509;1.109;1.378;0.152;0.04;0.878;0.471;0;0.144
Original ;0;validation;0.4167;0.009;0.157;0.611;0.168;0.003;0.03;0.247;0.309;0.147
Original ;0;training;0.4167;0.639;0.157;0.844;0;0.407;0;0.164;0.744;0.635
Original ;0;training;0.4167;0.008;0.157;0.643;0.045;0.091;0.338;0.164;0.309;0.191
Original ;0;training;0.4167;0.383;0.519;0.304;0;0.018;0.013;0.33;0.489;0.148
Original ;0;validation;0.4167;0.007;0.898;1.313;0.275;0.347;0.31;1.342;0;0.464
Original ;1;training;0.4167;0.056;0.837;0;0.952;0.5;0.711;1.118;0.289;0
Original ;1;training;0.4167;0.674;0.801;1;0.169;0;0;0.787;0.949;0
Original ;0;training;0.4167;0.184;0.157;0.931;0;0.211;0.032;0.164;0;0.4
Original ;1;validation;0.4167;0.011;0.509;0;0.048;0.29;0.689;0.36;0.234;0.206
Original ;0;training;0.4167;0.006;0.222;0.544;0.946;0.755;0.028;0.611;0.309;0.922
Original ;0;training;0.4167;0.012;0.745;0.338;0.219;0.027;0.399;0.921;0.445;0.158
Original ;0;training;0.4167;0.231;0.512;1.231;0.15;0.263;0.23;0.791;0;0.191
Original ;1;validation;0.4167;0.56;0.333;0.739;0.224;0.013;0.439;0.304;1.239;0.148
Original ;1;training;0.4167;0.491;1.454;1.167;0.242;0;0;1.002;0;0.358
Original ;0;training;0.4167;0.009;0.167;0.6;0.225;0.018;0.02;0.297;0.162;0.15
Original ;0;training;0.4167;0.01;0;0.834;0;0.748;0.161;1.26;0.01;0.888
Original ;1;validation;0.4167;0.731;0.967;0.724;0;0;0;0.876;0;0.149
Original ;0;training;0.1667;0.171;0.737;1.102;0;0;0;0.967;0;0.593
Original ;0;training;0.1667;0.01;1.24;0;0;1.2;1.533;1.615;0;0
Original ;1;training;0.1667;0.244;1.647;0.677;0.632;0;0;1.164;0;0
Original ;0;validation;0.1667;0.306;1.19;0.723;0.818;0.788;1.034;1.153;0;0.887
Original ;0;training;0.1667;0.069;0.521;1.004;0;0.348;1.094;0.471;0.128;0.478
Original ;0;training;0.1667;0.244;0.606;0.328;0.221;0.084;0.857;0.164;0.139;0.162
Original ;1;training;0.1667;0.592;1.302;0.677;0;0;0;1.027;0.54;0.077
Original ;0;validation;0.1667;0.25;1.045;0.451;0;0.005;0.242;0.306;0;0.175
Original ;1;training;0.1667;0.011;0.72;0;0.048;0;0;0.832;0;0.284
Original ;0;training;0.1667;0.45;0.519;0.315;0.169;0.036;0.032;0.368;0.581;0.144
Original ;0;training;0.1667;0.091;0.157;0;0.09;0.224;0.776;0.239;0;0.295
Original ;0;validation;0.1667;0.05;0.747;0.351;0.632;0.07;0.238;0.885;0;0.158
Original ;1;training;0.1667;0.006;0.471;0.471;0.297;0.135;0.707;0.51;0.128;0.27
Original ;0;training;0.1667;0.134;0;0.304;0;0;0;0.297;0.35;0.15
Original ;0;training;0.1667;0.01;0.157;0.643;0;0.029;0.219;0.164;0.191;0.148
Original ;0;validation;0.1667;0.259;0.536;0.288;0;0.054;0;0.247;0.279;0.152
Original ;0;training;0.1667;0.322;0.624;0.763;0.819;0.772;0.347;0.575;0.154;0.886
Original ;0;training;0.1667;0.162;0.674;0.304;0.224;0.024;0.143;0.33;0.26;0.148
Original ;0;training;0.1667;0.389;0.468;0.304;0.224;0.013;0.603;0.33;0.484;0.148
Original ;0;validation;0.1667;0.627;0.545;0.304;0.224;0;0;0.33;0.787;0.148
Original ;0;training;0.1667;0.061;0.157;0.304;0;0.259;0.347;0.297;0.295;0.15
Original ;0;training;0.1667;0.181;1.359;0;0;0;0;1.027;0.371;0.09
Original ;0;training;0.1667;0.352;1.027;1.462;0;0.564;0.198;0.983;0;1.27
Original ;0;validation;0.1667;0.052;0.711;0.97;0.489;0.462;1.238;0.927;0;0.559
Original ;0;training;0.1667;0.011;0.111;0.487;0;0.053;0.312;0.327;0.361;0.151
Original ;0;training;0.1667;0.011;0.458;0.995;0.113;0.296;0.774;0.467;0;0.27
Original ;0;training;0.1667;0.013;0.299;0.669;0.219;0.027;0.312;0.368;1.104;0.158
Original ;0;validation;0.1667;0.012;0.524;0.667;0;0.295;1.149;0.697;0;0.227
Original ;0;training;0.1667;0.011;0.833;1.245;0;0.716;0.231;1.065;0;0.651
Original ;0;training;0.1667;0.017;0.333;0.995;0;0.24;0.68;0.432;0.523;0.144
Original ;0;training;0.1667;0.509;1.109;1.378;0.152;0.04;0.878;0.471;0;0.144
Original ;0;validation;0.1667;0.009;0.157;0.611;0.168;0.003;0.03;0.247;0.309;0.147
Original ;0;training;0.1667;0.639;0.157;0.844;0;0.407;0;0.164;0.744;0.635
Original ;0;training;0.1667;0.008;0.157;0.643;0.045;0.091;0.338;0.164;0.309;0.191
Original ;0;training;0.1667;0.383;0.519;0.304;0;0.018;0.013;0.33;0.489;0.148
Original ;0;validation;0.1667;0.007;0.898;1.313;0.275;0.347;0.31;1.342;0;0.464
Original ;1;training;0.1667;0.056;0.837;0;0.952;0.5;0.711;1.118;0.289;0
Original ;1;training;0.1667;0.674;0.801;1;0.169;0;0;0.787;0.949;0
Original ;0;training;0.1667;0.184;0.157;0.931;0;0.211;0.032;0.164;0;0.4
Original ;1;validation;0.1667;0.011;0.509;0;0.048;0.29;0.689;0.36;0.234;0.206
Original ;0;training;0.1667;0.006;0.222;0.544;0.946;0.755;0.028;0.611;0.309;0.922
Original ;0;training;0.1667;0.012;0.745;0.338;0.219;0.027;0.399;0.921;0.445;0.158
Original ;0;training;0.1667;0.231;0.512;1.231;0.15;0.263;0.23;0.791;0;0.191
Original ;0;validation;0.1667;0.56;0.333;0.739;0.224;0.013;0.439;0.304;1.239;0.148
Original ;0;training;0.1667;0.491;1.454;1.167;0.242;0;0;1.002;0;0.358
Original ;0;training;0.1667;0.009;0.167;0.6;0.225;0.018;0.02;0.297;0.162;0.15
Original ;0;training;0.1667;0.01;0;0.834;0;0.748;0.161;1.26;0.01;0.888
Original ;1;validation;0.1667;0.731;0.967;0.724;0;0;0;0.876;0;0.149
Original ;0;training;0.4167;0.829;0.567;0.645;0.14;0.259;0.347;0.337;0.964;0.152
Original ;1;training;0.4167;0.025;0.799;0.456;0.132;0.181;0.816;0.632;0.017;0.165
Original ;1;training;0.4167;0.264;1.002;0;0;0.159;0.708;1.054;0.009;0.198
Original ;1;validation;0.4167;0.307;0.866;0.946;0.165;0.118;0.606;0.809;0.02;0.155
Original ;1;training;0.4167;0.057;0.389;0.843;0.094;0.246;0.692;0.349;0.147;0.162
Original ;1;training;0.4167;0.245;0.586;0.328;0.004;0.024;0.143;0.337;0.291;0.152
Original ;1;training;0.4167;0.261;0.705;0.2;0.249;0.141;0.708;0.398;0.202;0.148
Original ;0;validation;0.4167;0.248;0.589;0.842;0.748;0.922;0.513;0.25;0.217;0.923
Original ;1;training;0.4167;0.012;0.577;0.859;0;0;0;0.809;0.39;0.144
Original ;1;training;0.4167;0.179;0.468;0.304;0;0.018;0.013;0.33;0.165;0.148
Original ;0;training;0.4167;0.185;0.157;0.282;0;0.16;0.221;0.239;0.366;0.24
Original ;0;training;0.4167;0.021;0.795;0.645;0;0.038;0.06;0.337;0.449;0.152
Original ;1;training;0.4167;0.006;0.66;0.66;0;0.226;0.149;0.575;0.295;0.343
Original ;0;training;0.4167;0.648;0;0.304;0;0.076;0.267;0.297;0.797;0.15
Original ;0;training;0.4167;0.019;0.314;0.645;0.004;0.071;0.078;0.337;0.561;0.152
Original ;0;training;0.4167;0.184;0.519;0.328;0.256;0.027;0;0.337;0.299;0.152
Original ;0;training;0.4167;0.39;0.624;0.763;0;0.108;0.347;0.575;0.266;0.155
Original ;0;training;0.4167;0.162;0.586;0.867;0.066;0.024;0.143;0.337;0.255;0.152
Original ;1;training;0.4167;0.224;0.468;0.304;0.158;0.331;0;0.33;0.18;0.148
Original ;1;validation;0.4167;0.243;0.545;0.304;0;0;0;0.33;0.219;0.148
Original ;0;training;0.4167;0.061;0.314;0.397;0.135;0.147;0.748;0.379;0.324;0
Original ;1;training;0.4167;0.288;0.828;0.2;0;0.135;0.707;0.398;0.245;0.148
Original ;1;training;0.4167;0.321;0.624;1.265;0;0.301;0.099;0.641;0.011;0.915
Original ;0;validation;0.4167;0.04;0.356;0.851;0;0.244;0.928;0.247;0.114;0.152
Original ;0;training;0.4167;0.007;0.056;0.302;0;0.08;0.649;0.212;0.124;0.146
Original ;0;training;0.4167;0.029;0.369;0.902;0;0.272;0.771;0.432;0.378;0.227
Original ;1;training;0.4167;0.045;0.248;0.6;0.158;0.024;0.143;0.33;1.105;0.148
Original ;0;training;0.4167;0.045;0.381;0.304;0;0.024;0.143;0.33;0.154;0.148
Original ;0;training;0.4167;0.024;0.544;0.997;0.024;0.258;0.229;0.767;0.017;0.162
Original ;0;training;0.4167;0.034;0.167;0.986;0;0.247;0.692;0.398;0.518;0.148
Original ;1;training;0.4167;0.263;1.047;1.254;0;0.013;0.823;0.236;0.178;0.148
Original ;0;training;0.4167;0.009;0.248;0.643;0.056;0.019;0.019;0.164;0.009;0.148
Original ;0;training;0.4167;0.305;0.157;0.931;0.134;0.197;0;0.164;0.29;0.148
Original ;0;training;0.4167;0.021;0.157;0.643;0.056;0;0;0.164;0.307;0.148
Original ;1;training;0.4167;0.178;0.519;0.304;0;0.018;0.013;0.33;0.189;0.148
Original ;0;training;0.4167;0.016;0.373;0.457;0.476;0.08;0.308;0.294;0.234;0.144
Original ;1;training;0.4167;0.254;0.845;0;0.158;0.5;0.711;0.398;0.376;0.148
Original ;1;training;0.4167;0.385;0.401;0.2;0.023;0;0;0.631;0.296;0.148
Original ;0;training;0.4167;0.471;0.314;0.867;0.158;0.125;0.016;0.337;0.362;0.116
Original ;1;validation;0.4167;0.018;0.43;0.505;0;0.274;0.337;0.304;0.161;0.148
Original ;1;training;0.4167;0.029;0.111;0.505;0;0.759;0.029;0.641;0.278;0.922
Original ;0;training;0.4167;0.022;0.373;0.6;0;0.038;0.06;0.33;0.567;0.148
Original ;0;training;0.4167;0.717;0.547;0.645;0.025;0.282;0.23;0.337;1.086;0.152
Original ;1;validation;0.4167;0.345;0.667;1.041;0.247;0.04;0.505;0.805;0.771;0.144
Original ;1;training;0.4167;0.224;0.545;0.282;0;0.109;0.761;0.503;0.096;0.203
Original ;1;training;0.4167;0.02;0.333;0.688;0;0.036;0.04;0.327;0.097;0.146
Original ;0;training;0.4167;0.03;0;1.278;0;0.073;0.161;1.26;0.03;0.181
Original ;1;validation;0.4167;0.252;0.468;0.491;0;0.013;0.603;0.33;0.221;0.148
Original ;0;training;0.1667;0.829;0.567;0.645;0.14;0.259;0.347;0.337;0.964;0.152
Original ;0;training;0.1667;0.025;0.799;0.456;0.132;0.181;0.816;0.632;0.017;0.165
Original ;0;training;0.1667;0.264;1.002;0;0;0.159;0.708;1.054;0.009;0.198
Original ;1;training;0.1667;0.307;0.866;0.946;0.165;0.118;0.606;0.809;0.02;0.155
Original ;0;training;0.1667;0.057;0.389;0.843;0.094;0.246;0.692;0.349;0.147;0.162
Original ;0;training;0.1667;0.245;0.586;0.328;0.004;0.024;0.143;0.337;0.291;0.152
Original ;1;training;0.1667;0.261;0.705;0.2;0.249;0.141;0.708;0.398;0.202;0.148
Original ;0;validation;0.1667;0.248;0.589;0.842;0.748;0.922;0.513;0.25;0.217;0.923
Original ;1;training;0.1667;0.012;0.577;0.859;0;0;0;0.809;0.39;0.144
Original ;0;training;0.1667;0.179;0.468;0.304;0;0.018;0.013;0.33;0.165;0.148
Original ;0;training;0.1667;0.185;0.157;0.282;0;0.16;0.221;0.239;0.366;0.24
Original ;0;validation;0.1667;0.021;0.795;0.645;0;0.038;0.06;0.337;0.449;0.152
Original ;1;training;0.1667;0.006;0.66;0.66;0;0.226;0.149;0.575;0.295;0.343
Original ;0;training;0.1667;0.648;0;0.304;0;0.076;0.267;0.297;0.797;0.15
Original ;0;training;0.1667;0.019;0.314;0.645;0.004;0.071;0.078;0.337;0.561;0.152
Original ;0;validation;0.1667;0.184;0.519;0.328;0.256;0.027;0;0.337;0.299;0.152
Original ;0;training;0.1667;0.39;0.624;0.763;0;0.108;0.347;0.575;0.266;0.155
Original ;0;training;0.1667;0.162;0.586;0.867;0.066;0.024;0.143;0.337;0.255;0.152
Original ;0;training;0.1667;0.224;0.468;0.304;0.158;0.331;0;0.33;0.18;0.148
Original ;0;validation;0.1667;0.243;0.545;0.304;0;0;0;0.33;0.219;0.148
Original ;0;training;0.1667;0.061;0.314;0.397;0.135;0.147;0.748;0.379;0.324;0
Original ;0;training;0.1667;0.288;0.828;0.2;0;0.135;0.707;0.398;0.245;0.148
Original ;0;training;0.1667;0.321;0.624;1.265;0.532;0.301;0.099;0.641;0.011;0.915
Original ;0;validation;0.1667;0.04;0.356;0.851;0.094;0.244;0.928;0.247;0.114;0.152
Original ;0;training;0.1667;0.007;0.056;0.302;0.031;0.08;0.649;0.212;0.124;0.146
Original ;0;training;0.1667;0.029;0.369;0.902;0;0.272;0.771;0.432;0.378;0.227
Original ;0;training;0.1667;0.045;0.248;0.6;0.158;0.024;0.143;0.33;1.105;0.148
Original ;0;validation;0.1667;0.045;0.381;0.304;0;0.024;0.143;0.33;0.154;0.148
Original ;0;training;0.1667;0.024;0.544;0.997;0.024;0.258;0.229;0.767;0.017;0.162
Original ;0;training;0.1667;0.034;0.167;0.986;0;0.247;0.692;0.398;0.518;0.148
Original ;0;training;0.1667;0.263;1.047;1.254;0;0.013;0.823;0.236;0.178;0.148
Original ;0;validation;0.1667;0.009;0.248;0.643;0.056;0.019;0.019;0.164;0.009;0.148
Original ;0;training;0.1667;0.305;0.157;0.931;0.134;0.197;0;0.164;0.29;0.148
Original ;0;training;0.1667;0.021;0.157;0.643;0.056;0;0;0.164;0.307;0.148
Original ;0;training;0.1667;0.178;0.519;0.304;0;0.018;0.013;0.33;0.189;0.148
Original ;0;validation;0.1667;0.016;0.373;0.457;0.476;0.08;0.308;0.294;0.234;0.144
Original ;1;training;0.1667;0.254;0.845;0;0.158;0.5;0.711;0.398;0.376;0.148
Original ;0;training;0.1667;0.385;0.401;0.2;0.023;0;0;0.631;0.296;0.148
Original ;0;training;0.1667;0.471;0.314;0.867;0.158;0.125;0.016;0.337;0.362;0.116
Original ;1;training;0.1667;0.018;0.43;0.505;0;0.274;0.337;0.304;0.161;0.148
Original ;0;training;0.1667;0.029;0.111;0.505;0;0.759;0.029;0.641;0.278;0.922
Original ;0;training;0.1667;0.022;0.373;0.6;0;0.038;0.06;0.33;0.567;0.148
Original ;0;training;0.1667;0.717;0.547;0.645;0.025;0.282;0.23;0.337;1.086;0.152
Original ;0;validation;0.1667;0.345;0.667;1.041;0.247;0.04;0.505;0.805;0.771;0.144
Original ;0;training;0.1667;0.224;0.545;0.282;0;0.109;0.761;0.503;0.096;0.203
Original ;0;training;0.1667;0.02;0.333;0.688;0;0.036;0.04;0.327;0.097;0.146
Original ;0;training;0.1667;0.03;0;1.278;0;0.073;0.161;1.26;0.03;0.181
Original ;0;validation;0.1667;0.252;0.468;0.491;0;0.013;0.603;0.33;0.221;0.148
Original ;0;training;0.4167;0.143;0.416;0.799;0.469;0.146;0.347;0.678;0.177;0.097
Original ;1;training;0.4167;0.013;0.739;0.456;0;0.283;0.415;0.942;0.011;0.163
Original ;1;training;0.4167;0.339;1.002;1;0;0.127;0.708;1.054;0.17;0.163
Original ;1;validation;0.4167;0.307;0.866;0.946;0.159;0.134;0.606;0.809;0.02;0.191
Original ;1;training;0.4167;0.333;0.696;0.302;0;0.188;0.443;0.267;0.36;0.143
Original ;1;training;0.4167;0.245;0.606;0.328;0;0.252;0.96;0.164;0.128;0.148
Original ;1;training;0.4167;0.261;0.705;0.2;0;0.141;0.708;0.398;0.199;0.148
Original ;1;validation;0.4167;0.305;0.545;0.814;0;0.662;0;0.25;0.31;0.922
Original ;1;training;0.4167;0.03;0.509;0.756;0;0;0;0;0.151;0.922
Original ;1;training;0.4167;0.178;0.468;0.304;0.331;0.018;0.013;0.33;0.166;0.148
Original ;0;training;0.4167;0.179;0.314;0.304;0;0.071;0.078;0.297;0.344;0.15
Original ;0;training;0.4167;0.22;0.521;0.616;0;0.043;0.069;0.368;0.541;0.149
Original ;1;training;0.4167;0.017;0.631;0.631;0;0.226;0.149;0.814;0.419;0.149
Original ;0;training;0.4167;0.111;0;0.304;0.066;0.076;0.267;0.297;0.347;0.15
Original ;0;training;0.4167;0.019;0.157;0.643;0;0.017;0.076;0.164;0.188;0.148
Original ;0;training;0.4167;0.285;0.519;0.328;0;0.027;0;0.337;0.362;0.152
Original ;0;training;0.4167;0.321;0.624;0.763;0;0.111;0.347;0.575;0.15;0.128
Original ;0;training;0.4167;0.161;0.586;0.867;0;0.259;0.347;0.337;0.256;0.152
Original ;1;training;0.4167;0.318;0.468;0.304;0.331;0.331;0;0.33;0.267;0.148
Original ;1;validation;0.4167;0.245;0.545;0.304;0;0;0;0.33;0.217;0.148
Original ;0;training;0.4167;0.307;0.157;0.304;0.066;0.076;0.267;0.297;0.42;0.15
Original ;1;training;0.4167;0.065;1.222;1.002;0;0.218;0.875;1.168;0.02;0.128
Original ;1;training;0.4167;0.321;0.624;1.265;0.536;0.263;0.099;0.641;0.023;0.916
Original ;0;validation;0.4167;0.247;0.356;0.851;0.094;0.253;0.758;0.247;0.289;0.152
Original ;0;training;0.4167;0.035;0.056;0.302;0.027;0.08;0.649;0.212;0.124;0.146
Original ;0;training;0.4167;0.017;0.685;0.487;0.087;0.255;0.23;0.327;0.378;0.16
Original ;0;training;0.4167;0.005;0.342;0.315;0.007;0.03;0.152;0.368;0.082;0.144
Original ;0;validation;0.4167;0.018;0.855;0.616;0.005;0.254;0.23;0.368;0.609;0.149
Original ;0;training;0.4167;0.034;0.167;0.986;0;0.247;0.692;0.398;0.518;0.148
Original ;1;training;0.4167;0.293;1.047;1.254;0;0.013;0.823;0.236;0.198;0.148
Original ;0;training;0.4167;0.026;0.248;0.645;0.004;0.035;0.02;0.337;0.445;0.152
Original ;0;validation;0.4167;0.217;0.157;0.931;0.013;0.197;0;0.164;0.147;0.148
Original ;0;training;0.4167;0.01;0.314;0.645;0.025;0.076;0.267;0.337;0.238;0.152
Original ;1;training;0.4167;0.185;0.617;0.315;0.007;0.063;0.032;0.368;0.235;0.149
Original ;1;training;0.4167;0.011;0.577;0.315;0.056;0.25;0;0.368;0.528;0.144
Original ;1;validation;0.4167;0.056;0.686;0;0.842;0;0;1.108;0.289;0
Original ;1;training;0.4167;0.391;0.401;0.2;0.027;0;0;0.631;0.305;0.148
Original ;0;training;0.4167;0.217;0.314;0.867;0.197;0.086;0.016;0.337;0.109;0.144
Original ;1;training;0.4167;0.024;0.816;1.357;0;0.376;0.344;1.027;0.16;0
Original ;0;validation;0.4167;0.006;0.111;0.505;0.662;0.759;0.029;0.641;0.284;0.922
Original ;1;training;0.4167;0.028;0.373;0.6;0;0.038;0.06;0.33;0.567;0.148
Original ;0;training;0.4167;0.206;0.111;0.719;0.029;0.265;0.232;0.306;0.515;0.148
Original ;1;training;0.4167;0.342;0.333;0.739;0.158;0.013;0.439;0.304;1.012;0.148
Original ;1;validation;0.4167;0.315;0.608;0.297;0;0.109;0.497;0.512;0.214;0.203
Original ;1;training;0.4167;0.014;0.167;0.6;0;0.018;0.02;0.297;0.155;0.15
Original ;1;training;0.4167;0.252;0.468;0.304;0;0.018;0.013;0.33;0.221;0.148
Original ;0;training;0.1667;0.143;0.416;0.799;0.469;0.146;0.347;0.678;0.177;0.097
Original ;0;validation;0.1667;0.013;0.739;0.456;0;0.283;0.415;0.942;0.011;0.163
Original ;1;training;0.1667;0.339;1.002;1;0;0.127;0.708;1.054;0.17;0.163
Original ;0;training;0.1667;0.307;0.866;0.946;0.159;0.134;0.606;0.809;0.02;0.191
Original ;1;training;0.1667;0.333;0.696;0.302;0;0.188;0.443;0.267;0.36;0.143
Original ;0;validation;0.1667;0.245;0.606;0.328;0;0.252;0.96;0.164;0.128;0.148
Original ;1;training;0.1667;0.261;0.705;0.2;0;0.141;0.708;0.398;0.199;0.148
Original ;0;training;0.1667;0.305;0.545;0.814;0;0.662;0;0.25;0.31;0.922
Original ;1;training;0.1667;0.03;0.509;0.756;0;0;0;0;0.151;0.922
Original ;0;validation;0.1667;0.178;0.468;0.304;0.331;0.018;0.013;0.33;0.166;0.148
Original ;0;training;0.1667;0.179;0.314;0.304;0;0.071;0.078;0.297;0.344;0.15
Original ;0;training;0.1667;0.22;0.521;0.616;0;0.043;0.069;0.368;0.541;0.149
Original ;1;training;0.1667;0.017;0.631;0.631;0;0.226;0.149;0.814;0.419;0.149
Original ;0;validation;0.1667;0.111;0;0.304;0.066;0.076;0.267;0.297;0.347;0.15
Original ;0;training;0.1667;0.019;0.157;0.643;0;0.017;0.076;0.164;0.188;0.148
Original ;0;training;0.1667;0.285;0.519;0.328;0;0.027;0;0.337;0.362;0.152
Original ;0;training;0.1667;0.321;0.624;0.763;0;0.111;0.347;0.575;0.15;0.128
Original ;0;validation;0.1667;0.161;0.586;0.867;0;0.259;0.347;0.337;0.256;0.152
Original ;0;training;0.1667;0.318;0.468;0.304;0.331;0.331;0;0.33;0.267;0.148
Original ;0;training;0.1667;0.245;0.545;0.304;0;0;0;0.33;0.217;0.148
Original ;0;training;0.1667;0.307;0.157;0.304;0.066;0.076;0.267;0.297;0.42;0.15
Original ;0;validation;0.1667;0.065;1.222;1.002;0;0.218;0.875;1.168;0.02;0.128
Original ;0;training;0.1667;0.321;0.624;1.265;0.536;0.263;0.099;0.641;0.023;0.916
Original ;0;training;0.1667;0.247;0.356;0.851;0.094;0.253;0.758;0.247;0.289;0.152
Original ;0;training;0.1667;0.035;0.056;0.302;0.027;0.08;0.649;0.212;0.124;0.146
Original ;0;validation;0.1667;0.017;0.685;0.487;0.087;0.255;0.23;0.327;0.378;0.16
Original ;0;training;0.1667;0.005;0.342;0.315;0.007;0.03;0.152;0.368;0.082;0.144
Original ;0;training;0.1667;0.018;0.855;0.616;0.005;0.254;0.23;0.368;0.609;0.149
Original ;0;training;0.1667;0.034;0.167;0.986;0;0.247;0.692;0.398;0.518;0.148
Original ;0;validation;0.1667;0.293;1.047;1.254;0;0.013;0.823;0.236;0.198;0.148
Original ;0;training;0.1667;0.026;0.248;0.645;0.004;0.035;0.02;0.337;0.445;0.152
Original ;0;training;0.1667;0.217;0.157;0.931;0.013;0.197;0;0.164;0.147;0.148
Original ;0;training;0.1667;0.01;0.314;0.645;0.025;0.076;0.267;0.337;0.238;0.152
Original ;0;validation;0.1667;0.185;0.617;0.315;0.007;0.063;0.032;0.368;0.235;0.149
Original ;1;training;0.1667;0.011;0.577;0.315;0.056;0.25;0;0.368;0.528;0.144
Original ;1;training;0.1667;0.056;0.686;0;0.842;0;0;1.108;0.289;0
Original ;1;training;0.1667;0.391;0.401;0.2;0.027;0;0;0.631;0.305;0.148
Original ;0;validation;0.1667;0.217;0.314;0.867;0.197;0.086;0.016;0.337;0.109;0.144
Original ;1;training;0.1667;0.024;0.816;1.357;0;0.376;0.344;1.027;0.16;0
Original ;0;training;0.1667;0.006;0.111;0.505;0.662;0.759;0.029;0.641;0.284;0.922
Original ;0;training;0.1667;0.028;0.373;0.6;0;0.038;0.06;0.33;0.567;0.148
Original ;0;validation;0.1667;0.206;0.111;0.719;0.029;0.265;0.232;0.306;0.515;0.148
Original ;0;training;0.1667;0.342;0.333;0.739;0.158;0.013;0.439;0.304;1.012;0.148
Original ;0;training;0.1667;0.315;0.608;0.297;0;0.109;0.497;0.512;0.214;0.203
Original ;0;training;0.1667;0.014;0.167;0.6;0;0.018;0.02;0.297;0.155;0.15
Original ;1;validation;0.1667;0.252;0.468;0.304;0;0.018;0.013;0.33;0.221;0.148
Original ;0;training;0.0833;0.171;0.737;1.102;0;0;0;0.967;0;0.593
Original ;1;training;0.0833;0.01;1.24;0;0;1.2;1.533;1.615;0;0
Original ;1;training;0.0833;0.244;1.647;0.677;0.632;0;0;1.164;0;0
Original ;0;validation;0.0833;0.306;1.19;0.723;0.818;0.788;1.034;1.153;0;0.887
Original ;0;training;0.0833;0.069;0.521;1.004;0;0.348;1.094;0.471;0.128;0.478
Original ;0;training;0.0833;0.244;0.606;0.328;0.221;0.084;0.857;0.164;0.139;0.162
Original ;0;training;0.0833;0.592;1.302;0.677;0;0;0;1.027;0.54;0.077
Original ;0;validation;0.0833;0.25;1.045;0.451;0;0.005;0.242;0.306;0;0.175
Original ;1;training;0.0833;0.011;0.72;0;0.048;0;0;0.832;0;0.284
Original ;0;training;0.0833;0.45;0.519;0.315;0.169;0.036;0.032;0.368;0.581;0.144
